199 387
193 383
187 381
181 378
175 377
169 378
166 383
159 382
153 382
146 380
140 379
133 377
128 374
123 369
118 364
113 361
107 358
102 354
97 349
94 343
89 339
87 333
84 327
84 320
84 314
89 311
87 305
89 298
87 292
82 289
77 285
74 279
70 275
65 270
65 264
71 264
77 267
84 269
90 270
97 271
103 271
110 272
116 272
122 276
128 278
135 277
141 276
147 277
154 280
160 280
166 283
172 287
178 290
183 293
188 290
192 285
198 281
203 277
208 274
213 269
219 266
225 265
231 266
231 271
228 277
226 283
228 289
233 293
236 299
242 302
248 304
254 307
261 309
263 314
259 318
262 324
263 331
262 337
259 343
256 349
254 355
251 361
246 362
243 356
247 353
244 349
238 348
233 352
235 358
240 363
244 368
247 374
246 380
244 387
239 390
232 391
226 391
219 390
213 389
206 388
