199 387
194 383
188 381
182 379
176 377
170 377
167 382
161 383
155 381
148 381
142 380
136 377
131 374
126 371
121 367
115 363
110 360
105 356
100 352
96 348
97 342
91 340
87 335
83 330
84 324
83 318
85 312
88 307
89 301
90 296
86 290
80 287
77 282
73 277
69 272
67 266
71 266
76 269
83 270
89 271
95 271
102 272
108 272
114 273
120 275
126 278
133 277
139 276
145 277
151 279
157 279
163 281
169 284
174 287
180 290
186 291
191 286
196 282
201 278
207 276
211 272
216 268
222 266
228 264
234 266
233 269
227 271
227 277
225 283
225 289
229 294
234 297
240 300
246 303
251 306
257 308
263 311
264 317
263 323
263 329
263 336
261 342
257 347
253 351
247 350
241 348
235 348
236 353
239 359
242 364
245 370
247 375
246 382
243 387
238 390
231 391
225 391
219 390
213 389
206 388
