203 388
198 385
192 382
186 382
181 379
175 377
169 379
165 383
159 382
153 382
147 381
141 379
135 377
129 374
125 370
120 366
115 362
109 359
104 356
99 352
95 347
91 342
88 337
85 331
84 326
84 320
81 314
78 309
77 303
83 302
88 300
89 295
84 291
80 287
77 281
74 276
69 271
67 266
72 266
78 268
84 270
90 271
96 271
102 272
108 272
115 273
120 276
126 277
133 278
139 277
145 276
151 278
157 280
163 281
169 283
174 287
179 290
185 292
189 288
194 284
199 280
204 277
209 273
214 269
219 266
225 265
232 265
236 268
230 271
228 276
227 282
227 289
232 291
235 292
235 297
241 300
247 303
252 307
258 308
263 310
261 314
260 319
264 323
263 330
262 336
262 342
258 347
255 352
253 358
250 363
245 367
247 373
247 379
245 386
241 390
235 390
229 391
222 390
216 389
210 388
