199 387
193 384
188 381
182 378
175 377
170 378
166 383
160 382
154 381
147 381
141 379
135 377
130 373
126 368
121 365
115 362
109 359
104 355
99 351
96 346
92 341
88 337
85 331
84 325
84 319
85 313
88 308
87 302
90 296
87 291
81 288
77 283
75 277
71 273
65 269
67 264
73 265
79 268
85 270
91 271
97 271
104 271
110 272
116 273
122 276
128 278
134 277
140 275
146 276
152 279
158 280
164 282
170 285
175 289
181 292
187 295
189 290
193 286
197 281
202 277
208 274
213 270
218 267
224 267
228 272
228 278
225 284
220 287
215 291
216 296
222 298
229 298
235 299
241 300
247 303
252 307
257 311
258 317
261 323
264 328
263 335
261 341
258 346
254 351
248 349
241 349
235 349
234 355
237 360
242 365
245 370
247 376
246 382
243 388
238 390
231 391
225 391
219 390
212 389
206 388
